Question,Hint,Answer
What is a remote-access security consideration for VPN?,Think the VPN becomes a gateway into the organization.,"Protect VPN credentials, enforce MFA, restrict access, patch VPN infrastructure, and monitor connections."
What is an AI-generated answer's source problem?,Think the AI may not provide trustworthy provenance.,The output may not have a verifiable source or may combine information without reliable attribution.
What should you do if an AI tool generates a suspicious technical command?,Don't copy-paste it into production.,Verify the command against trusted documentation and test it safely before use.
What is an AI privacy policy likely to address?,Think what employees can submit.,"It can define what data may be entered into AI systems, approved services, retention, access, and confidentiality requirements."
What is an AI hallucination versus an AI bias?,One is fabricated information; the other is systematic skew.,A hallucination is an inaccurate or fabricated output; bias is a systematic tendency toward skewed outcomes.
What is an AI model's accuracy limitation?,Think correct-sounding output is not guaranteed.,AI systems can produce incorrect or incomplete answers even when the response appears confident.
What is the purpose of a documented incident timeline?,Think reconstructing what happened.,"It records events and actions in chronological order to support investigation, response, and accountability."
What is a ticket escalation path?,Think who gets the problem next.,"A predefined route for transferring issues to the appropriate higher-level technician, team, or authority."
What is the purpose of categorizing support tickets?,Think routing and reporting.,Categories help route issues to the appropriate team and analyze recurring problem types.
What is ticket prioritization based on?,Think impact and urgency.,"Priority is generally determined by factors such as business impact, number of users affected, urgency, and service criticality."
What is the difference between incident and problem management?,One restores service; the other seeks underlying causes.,Incident management focuses on restoring normal service quickly; problem management investigates underlying causes and prevents recurrence.
What is root cause analysis?,Think find why the problem happened rather than just fixing the symptom.,A structured process for identifying the underlying cause of a problem.
What is a workaround?,Think temporary way to keep the user working.,A temporary method that reduces or bypasses the impact of an issue without necessarily fixing its root cause.
What is a permanent fix?,Think eliminates the underlying problem.,A corrective action intended to resolve the root cause rather than merely bypassing the symptom.
What is a maintenance record?,Think history of work performed.,"Documentation showing maintenance actions, dates, technicians, findings, and relevant changes."
What is configuration documentation?,Think how the system is currently set up.,"Documentation describing system settings, hardware/software configuration, network information, and other relevant technical details."
What is a network diagram useful for in Core 2 support work?,Think understanding the environment before making changes.,It documents relationships and connectivity between systems and can assist troubleshooting and change planning.
What is the purpose of documenting configuration before a major change?,Think rollback and comparison.,It provides a known reference state that can be used to verify changes or restore the previous configuration.
What is the purpose of a change request?,Think formally asking permission to modify a system.,"It documents the proposed change, reason, impact, risk, schedule, and implementation/recovery information."
What is change rollback testing?,Think proving you can undo the change.,Verifying that the documented rollback procedure works before or during change planning.
What is a post-change review?,Think checking whether the change actually worked.,A review confirming the change achieved its objectives and identifying unexpected effects or follow-up work.
What is the purpose of a backup before a risky change?,Think safety net.,It provides a recovery source if the change causes data loss or system failure.
What is the difference between backup and archive?,Think recovery versus long-term retention.,A backup is primarily for restoring operational data; an archive preserves information for long-term retention or reference.
What is a hot site?,Think recovery location already running or nearly ready.,A disaster-recovery site with systems and infrastructure available for relatively rapid failover.
What is a cold site?,Think space and infrastructure but little ready-to-run equipment.,A recovery location requiring significant setup before systems can operate.
What is a warm site?,Think between hot and cold.,A partially equipped recovery site requiring some additional configuration or restoration before operation.
What is the purpose of a UPS shutdown configuration?,Think controlled shutdown when battery runs low.,It can automatically shut down systems safely before the UPS battery is exhausted.
What is the difference between a surge protector and a UPS?,Think one handles spikes; the other also provides temporary power.,A surge protector protects against voltage surges; a UPS provides battery-backed power and may also provide surge protection.
What is ESD-safe handling?,Think controlling static while touching components.,Using grounding and antistatic procedures to prevent electrostatic damage.
What is an ESD mat?,Think a grounded work surface.,A conductive or dissipative mat used with proper grounding to reduce static discharge risk.
What is the purpose of proper lifting technique in IT work?,Think equipment can be heavy.,To reduce the risk of strains and injuries when moving equipment.
What is a ladder safety rule relevant to technicians?,Think don't improvise with unstable furniture.,Use an appropriate ladder or step platform and follow safety procedures rather than standing on chairs or unstable objects.
What is an environmental control used in server rooms?,Think temperature and humidity.,HVAC and environmental monitoring systems help maintain safe temperature and humidity ranges.
What is the purpose of temperature monitoring?,Think heat can cause failures.,It detects environmental conditions that could lead to overheating or equipment damage.
What is the purpose of proper ventilation around equipment?,Think heat needs somewhere to go.,It allows heat to dissipate and helps prevent overheating.
What is a licensing violation?,Think using software outside the terms granted by the license.,"Using, copying, distributing, or installing software in a way that violates its license."
What is unauthorized software?,Think software installed without organizational approval.,Software that has not been approved or authorized under organizational policy.
What is shadow IT?,Think employees using technology without IT approval.,"Hardware, software, or cloud services used by an organization without appropriate IT authorization or oversight."
What is the purpose of an NDA in IT support?,Think technicians see sensitive information.,It legally restricts disclosure of specified confidential information.
What is the purpose of a privacy policy?,Think rules governing personal information.,"It explains how personal information is collected, used, stored, shared, and protected."
What is a BYOD policy?,Think employees using their own phones or computers for work.,A policy governing the use and security of personally owned devices for organizational activities.
What is remote wipe especially useful for in BYOD?,Think employee loses their phone.,It can remove organizational data from a lost or stolen managed device when supported and authorized.
What is the purpose of an acceptable-use policy?,Think boundaries for technology use.,It defines allowed and prohibited use of organizational technology and resources.
What is a prohibited activity policy designed to prevent?,Think misuse of company systems.,"Activities such as unauthorized access, illegal use, harassment, inappropriate content, or other policy violations."
What is the purpose of professional titles and culturally appropriate communication?,Think respectful support interactions.,To communicate respectfully and professionally with customers from different backgrounds.
What should a technician do if a customer becomes angry?,"Think calm, listen, clarify, and follow procedure.","Remain professional, listen actively, acknowledge the concern, avoid arguing, and work toward an appropriate resolution or escalation."
What should a technician avoid when explaining a technical problem to a nontechnical user?,Don't bury them in jargon.,Unnecessary technical jargon and explanations that do not help the user understand what they need to do.
What is a closed-ended question?,Think yes/no or a limited answer.,"A question that can usually be answered with a short, specific response."
What is an open-ended question useful for in troubleshooting?,Think getting the customer to describe the symptoms.,It encourages the user to provide detailed information about what happened and what they observed.
What is restating a customer's problem useful for?,Think confirm you understood them.,It verifies understanding and gives the customer an opportunity to correct misunderstandings.
What is the purpose of an escalation note?,Think don't make the next technician start from zero.,"It summarizes symptoms, troubleshooting performed, findings, and relevant information needed by the next support level."
What is an automation script's greatest benefit in repetitive IT work?,Think consistency and speed.,It can perform repeatable tasks quickly and consistently while reducing manual effort.
What is a script's greatest operational danger?,Think automation magnifies mistakes.,A flawed script can make incorrect changes across many systems quickly.
What is PowerShell's advantage over traditional batch files?,Think structured objects and extensive Windows management capabilities.,PowerShell provides powerful command and object-based administration capabilities for Windows and other platforms.
What is a shell script's interpreter?,Think program that reads the script's commands.,A shell such as Bash interprets and executes shell-script commands.
What is a .py file?,Think Python.,A Python script.
What is a .ps1 file?,Think PowerShell.,A PowerShell script.
What is a .bat file?,Think Windows batch.,A Windows batch script.
What is a .sh file?,Think Unix/Linux shell.,A shell script.
What is a .vbs file?,Think VBScript.,A VBScript file.
What is a .js file?,Think JavaScript.,A JavaScript file.
What is remote monitoring?,Think observing system health without being physically present.,"Monitoring the status, performance, or health of remote systems."
What is remote management?,Think making administrative changes remotely.,"Managing configuration, software, services, or other system functions from a remote location."
What is a remote-access audit trail?,Think records of remote activity.,"Logs or records showing remote connections, users, times, and potentially actions performed."
What is SPICE particularly suited to?,Think virtualization.,Remote interaction with virtual machine displays and related VM functionality.
What is WinRM particularly suited to?,Think Windows command and management.,"Remote Windows administration, including executing commands and scripts."
What is VNC particularly suited to?,Think graphical desktop access.,Remote viewing and control of a graphical desktop.
What is RDP particularly suited to?,Think Windows graphical sessions.,Remote graphical access to Windows systems.
What is SSH particularly suited to?,Think secure text-based administration.,Secure remote command-line administration.
What is RMM particularly suited to?,Think managing many endpoints.,Ongoing monitoring and management of remote endpoints.
What is a VPN particularly suited to?,Think secure network access from outside.,Providing an encrypted connection to a private network or protected service.
