Question,Hint,Answer
What port does traditional syslog commonly use?,Think basic network logging.,UDP 514 is traditionally associated with syslog; secure/alternative implementations can use other transports and ports.
What port is commonly associated with LDAP?,Think directory services.,TCP/UDP 389.
What port is commonly associated with LDAPS?,Think LDAP secured with TLS.,TCP 636.
What port does RDP commonly use?,Think Windows remote desktop.,TCP/UDP 3389.
What port does SMB commonly use?,Think Windows file/printer sharing.,TCP 445.
What port does NTP use?,Think time synchronization.,UDP 123.
What port does SNMP use?,Think network management.,UDP 161.
What port does SNMP trap traffic use?,Think asynchronous notifications sent from monitored devices to a management system.,UDP 162.
What port does TFTP use?,Think simple file transfers commonly used by network devices for boot/configuration tasks.,UDP 69.
What is TFTP's major security limitation?,It is intentionally simple and lacks the security features of protocols such as SFTP.,TFTP does not provide the authentication and encryption expected from secure file-transfer protocols.
What port does NFS commonly use?,Think Unix/Linux network file sharing; the exact service-port behavior can vary by version/configuration.,NFS commonly uses TCP/UDP 2049.
What port does SMB use compared with NetBIOS Session Service?,Think modern Windows file sharing versus older NetBIOS-based SMB.,SMB commonly uses TCP 445; older NetBIOS Session Service commonly uses TCP 139.
What port does DHCP use for server responses?,Remember the server/client pair.,UDP 67.
What port does DHCP use on the client?,The client needs its own DHCP port.,UDP 68.
What port does HTTPS use?,Think secure web traffic.,TCP 443.
What port does HTTP use?,Think unencrypted web traffic.,TCP 80.
What port does SSH use?,Think secure remote shell.,TCP 22.
What port does FTP control traffic use?,Think classic FTP command/control connection.,TCP 21.
What port does FTP active-mode data use?,Think the separate data connection in classic active FTP.,TCP 20.
What port does Telnet use?,Think insecure remote terminal access.,TCP 23.
What port does SMTP traditionally use between mail servers?,Think server-to-server email relay.,TCP 25.
What port does secure SMTP submission commonly use?,Think authenticated client mail submission.,TCP 587.
What port does SMTPS commonly use?,Think SMTP over implicit TLS.,TCP 465 is commonly used for message submission over implicit TLS.
What port does POP3S use?,Think POP3 over TLS.,TCP 995.
What port does IMAPS use?,Think IMAP over TLS.,TCP 993.
What port does DNS use?,Think name resolution.,"UDP 53, with TCP 53 also used for cases such as large responses and zone transfers."
What port does SIP over TLS commonly use?,Think encrypted VoIP signaling.,TCP 5061.
What port does SIP commonly use without TLS?,Think standard SIP signaling.,UDP/TCP 5060.
What port does RDP use?,Think remote Windows desktop.,TCP/UDP 3389.
What is the OSI model's purpose?,Think a conceptual framework for understanding where networking functions occur.,"The OSI model divides networking functions into seven conceptual layers to help understand, design, and troubleshoot networks."
What are the seven OSI layers from Layer 1 upward?,Start with physical signals and end with applications.,"Physical, Data Link, Network, Transport, Session, Presentation, Application."
What OSI layer is Ethernet primarily associated with?,Think MAC addresses and frames.,"Layer 2, Data Link."
What OSI layer is IP primarily associated with?,Think logical addressing and routing.,"Layer 3, Network."
What OSI layer is TCP/UDP associated with?,Think ports and end-to-end transport.,"Layer 4, Transport."
What OSI layer is HTTP associated with?,Think application-level protocol.,"Layer 7, Application."
What layer handles electrical/optical/radio signaling?,"Think cables, connectors, voltage, light, and radio.","Layer 1, Physical."
What layer handles MAC addresses and frames?,Think switches.,"Layer 2, Data Link."
What layer handles IP addressing and routing?,Think routers.,"Layer 3, Network."
What layer handles ports and reliable transport?,Think TCP and UDP.,"Layer 4, Transport."
Why is the OSI model useful to a technician?,It gives you a structured way to narrow down where a problem lives.,"It helps technicians categorize problems by physical, link, network, transport, or application behavior instead of guessing randomly."
A network cable is physically broken. Which OSI layer should you investigate first?,Think signals and cables.,"Layer 1, Physical."
A switch has the wrong VLAN assigned to a port. Which OSI layer is primarily involved?,Think Ethernet segmentation rather than IP routing.,"Layer 2, Data Link."
A host has the wrong IP address or subnet mask. Which layer is primarily involved?,Think logical addressing.,"Layer 3, Network."
A server's TCP port is blocked by a firewall. Which layer should immediately come to mind?,Think ports and transport protocols.,"Layer 4, Transport."
An application is crashing after successfully connecting to its server. Which OSI layer is closest to the problem?,Think the application itself.,"Layer 7, Application."
What is encapsulation?,Think data gaining headers as it moves down the networking stack.,Encapsulation is the process of adding protocol information as data moves through networking layers.
What is decapsulation?,Think removing those headers on the receiving side.,Decapsulation is the process of removing protocol information as data moves up the networking stack.
What is MTBF?,Think how long a device is expected to operate between failures.,Mean Time Between Failures is a reliability metric representing the average operating time between failures for repairable equipment.
What is MTTR?,Think how long it takes to get something working again.,Mean Time To Repair is the average time required to repair and restore a failed system.
Why do IT professionals care about MTTR?,Faster recovery generally means less business downtime.,Lower MTTR generally means faster recovery from failures and reduced operational impact.
What is asset management?,Think knowing what hardware/software an organization owns and where it is.,"Asset management tracks organizational hardware, software, ownership, location, lifecycle, and related information."
Why should a technician record a newly installed component's serial number?,"Think warranty, inventory, and future troubleshooting.","Serial numbers help with asset tracking, warranty claims, support cases, and replacement history."
What is an ESD-safe work area?,Think controlling static before touching sensitive components.,"An ESD-safe work area uses appropriate grounding, mats, wrist straps, handling procedures, and environmental controls to reduce static damage."
What is the safest general approach to an unknown hardware failure?,Avoid making the situation worse while collecting evidence.,"Document symptoms, power down when appropriate, follow ESD/safety procedures, inspect connections, and test systematically."
What is a cable tester's wire-map function?,Think whether each conductor reaches the correct pin at the other end.,"Wire mapping identifies continuity and pin-to-pin wiring relationships and can reveal opens, shorts, reversals, or miswires."
What is a cable fault called when one conductor is disconnected?,Think no electrical path on one wire.,An open.
What is a cable fault called when two conductors unintentionally touch?,Think an unintended electrical connection.,A short.
What is a split pair?,Think the wires are connected to the correct pins but the twisted pairs are mixed incorrectly.,"A split pair occurs when conductors from different twisted pairs are improperly paired, potentially causing excessive crosstalk."
Why can a cable pass a simple continuity test but still perform poorly?,Continuity only proves basic electrical connection.,"A cable can have incorrect pair geometry, excessive crosstalk, poor termination, impedance problems, or other performance issues that a basic tester may not detect."
What is crosstalk?,Think one twisted pair interfering with another.,Crosstalk is unwanted signal coupling between adjacent communication pairs.
What is attenuation?,Think a signal becoming weaker as it travels.,Attenuation is the reduction in signal strength over distance or through components.
What is EMI?,Think unwanted electrical/radio interference.,Electromagnetic interference can disrupt electronic signals and communications.
Why is fiber immune to electromagnetic interference?,Think the signal is light rather than electrical current in copper.,"Fiber carries data using light, so electromagnetic fields do not interfere with the signal in the same way they can with copper."
What is a transceiver?,Think a device that can both transmit and receive.,A transceiver combines transmitter and receiver functions.
What is an SFP?,Think a small interchangeable network transceiver module.,SFP is a Small Form-factor Pluggable transceiver format commonly used in switches and networking equipment.
What is a NIC?,Think the component that provides network connectivity to a computer.,A Network Interface Card/controller provides a computer with network connectivity.
What is a virtual NIC?,Think a network adapter presented to a VM rather than physically installed.,A virtual NIC is a software-defined network interface provided to a virtual machine.
What is Wake-on-LAN?,Think remotely waking a powered-down/sleeping computer using a special network packet.,Wake-on-LAN allows a compatible computer to wake from a supported low-power state when it receives a magic packet.
What is MAC address spoofing?,Think changing the MAC address presented by a network interface.,MAC spoofing changes the MAC address reported by a device/interface.
Why might a technician use a MAC spoofing feature legitimately?,Think compatibility or testing rather than attack scenarios.,"It can be used for troubleshooting, testing network access controls, or replacing a device where a network expects a particular MAC address."
What is a network loop?,Think two switch paths accidentally creating a circular Layer 2 path.,"A network loop occurs when Layer 2 paths form a cycle, potentially causing broadcast storms and instability."
What technology helps prevent Layer 2 switching loops?,Think a protocol that builds a loop-free logical topology.,Spanning Tree Protocol and related variants help prevent Layer 2 switching loops.
What is STP?,Think switches preventing redundant physical links from creating loops.,Spanning Tree Protocol creates a loop-free logical topology by blocking redundant paths and allowing them when needed.
What is a broadcast storm?,Think a huge amount of broadcast/multicast traffic overwhelming a network.,A broadcast storm occurs when excessive broadcast or related traffic consumes network resources and degrades performance.
A switch network becomes unusable after someone connects two switch ports together with a patch cable. What might have happened?,Two paths may have created a Layer 2 loop.,A switching loop may have caused a broadcast storm; STP and proper network design help prevent this.
What is link aggregation?,Think combining multiple physical links into one logical connection.,Link aggregation combines multiple network links to increase capacity and/or provide redundancy.
What is LACP?,Think a standard way to negotiate link aggregation.,LACP is the Link Aggregation Control Protocol used to dynamically form and manage aggregated links.
What is a PoE budget?,A switch can provide only so much electrical power to connected devices.,A PoE budget is the total power available for delivery to connected PoE devices.
A PoE access point repeatedly reboots. What should you check?,The network may work while the power delivery does not.,"Check PoE budget, switch port configuration, cable quality, PoE standard compatibility, injector/switch power, and the AP's power requirements."
What is a PoE injector?,Think adding power to Ethernet when the switch doesn't provide it.,A PoE injector adds electrical power to Ethernet cabling for a compatible powered device.
What is a network tap?,Think a device that provides visibility into traffic for monitoring/troubleshooting.,A network tap provides a copy of network traffic to monitoring or analysis equipment.
What is a protocol analyzer?,Think inspecting packets rather than just checking whether a host responds.,"A protocol analyzer captures and analyzes network packets to troubleshoot protocols, performance, and communication problems."
What is Wireshark commonly used for?,Think packet capture and protocol analysis.,Wireshark is a network protocol analyzer used to capture and inspect network traffic.
A VoIP call has packet loss. What could Wireshark help reveal?,Think looking directly at RTP packets and their sequence/timing.,"A packet capture can reveal missing packets, timing variation, retransmissions, codec information, and other network behavior."
What is a packet capture?,Think taking a snapshot of network traffic for analysis.,A packet capture records network packets so they can be inspected later or in real time.
Why should packet captures be handled carefully?,Network traffic can contain sensitive information.,"Captures may contain credentials, personal information, or confidential data, so access and storage should be controlled."
What is a loopback interface?,Think a virtual interface used for local communication and testing.,A loopback interface represents the local system itself and does not require a physical network connection.
What is localhost?,Think the computer talking to itself.,localhost normally resolves to loopback addresses such as 127.0.0.1 or ::1.
What is the purpose of pinging localhost during troubleshooting?,It removes the physical network from the equation.,It tests whether the local IP networking stack is functioning.
A PC can ping localhost but not its own configured IP address. What could that suggest?,"The stack works, but the interface/address configuration may have a problem.","Investigate the network interface, IP configuration, driver, binding, and interface state."
What is an interface being administratively down?,Think software/configuration has disabled the network interface.,An administratively down interface has been disabled by configuration rather than simply losing physical link.
What is DHCP relay?,DHCP broadcasts normally don't cross routers; something has to help them reach a remote DHCP server.,A DHCP relay forwards DHCP requests between clients and a DHCP server across routed networks.
What is a DHCP server?,Think the device/service handing out IP configuration.,A DHCP server leases IP addresses and provides network configuration options to clients.
What is DNS recursion?,Think a DNS server doing the lookup work on behalf of a client.,A recursive DNS server queries other DNS servers as necessary to obtain an answer for the client.
What is a DNS authoritative server?,Think the server responsible for authoritative information about a DNS zone.,An authoritative DNS server provides definitive DNS records for zones it hosts.
What is a DNS resolver?,Think the service a client asks to resolve a hostname.,A DNS resolver performs DNS queries on behalf of clients and may cache responses.
What is a DNS TTL?,Think how long a DNS response can be cached.,Time To Live specifies how long a DNS record may generally be cached before it should be refreshed.
Why might a DNS change not appear immediately everywhere?,DNS records can be cached.,Resolvers and clients may continue using cached information until the record's TTL expires or caches are cleared.
What is a hosts file?,Think a local manual name-to-IP mapping that can override normal DNS behavior.,A hosts file provides local hostname-to-address mappings and can affect name resolution.
Why can an incorrect hosts-file entry cause a website problem?,The computer may never ask DNS for the name if the local mapping takes precedence.,A bad hosts entry can send the hostname to the wrong IP address or prevent normal DNS resolution.
What is the difference between public and private DNS?,One is reachable/used broadly on the Internet; the other can resolve internal names.,Public DNS serves publicly resolvable names; private DNS is used for internal namespaces and resources.
What is an IPv6 link-local address?,Think an address automatically usable on the local IPv6 link without normal global routing.,IPv6 link-local addresses typically use the FE80::/10 range.
What is IPv6 loopback?,Think IPv6's equivalent of 127.0.0.1.,::1.
What is IPv6 address compression?,Long IPv6 addresses can be shortened by omitting certain zero sequences according to rules.,IPv6 allows leading zeros in groups to be omitted and one consecutive run of zero groups to be replaced with ::.
What is SLAAC?,Think IPv6 hosts automatically configuring addresses without traditional DHCPv4-style address assignment.,Stateless Address Autoconfiguration allows IPv6 hosts to configure addresses using router advertisements.
What is dual stack?,Think IPv4 and IPv6 operating together.,Dual stack means a device/network supports both IPv4 and IPv6.
What is a default gateway in IPv6?,The concept still exists even though IPv6 addressing works differently.,An IPv6 host uses a router as its default route for destinations outside the local network.
What is a USB data-transfer rate versus physical connector?,Don't assume every USB-C port has the same capabilities.,"USB-C describes the connector; supported USB generation, data rate, video modes, and power depend on the device, port, and cable."
Why might a USB-C cable charge a laptop but fail to drive a monitor?,Charging and video are separate capabilities.,"The cable, port, or device may support power delivery but not the required DisplayPort/alternate-mode functionality."
What is a USB-C dock compatibility problem?,The connector fitting does not guarantee all features will work.,"Check USB data rates, DisplayPort/Thunderbolt support, power delivery, drivers, firmware, and the laptop's supported modes."
What is a display's refresh rate?,Think how many times per second the image can be refreshed.,Refresh rate is measured in hertz and indicates how many display refreshes occur per second.
What is display resolution?,Think pixels horizontally by vertically.,"Resolution is the number of addressable pixels in the display image, such as 1920x1080."
What is a dead backlight symptom on an LCD?,The image may exist but be extremely dark.,A failed backlight can cause a very dim or apparently black display even when image data is being generated.
What is burn-in versus temporary image retention?,One can be persistent; the other may fade.,"Burn-in is persistent display damage/image retention, while temporary image retention may disappear after the displayed content changes."
What is a touchscreen capacitive sensor?,Think detecting changes in an electrical field caused by a finger.,Capacitive touchscreens detect changes in capacitance when a conductive object touches or approaches the surface.
What is a stylus digitizer?,Think precise pen input rather than just finger touch.,A digitizer detects stylus/finger input and translates it into coordinates and input events.
What is a mobile device accelerometer calibration issue?,Think the phone thinks it is tilted when it isn't.,Incorrect sensor calibration can cause inaccurate orientation or motion detection.
What is a laptop's webcam privacy shutter?,Think a physical barrier rather than software permission.,A privacy shutter physically blocks the camera lens to prevent unintended visual capture.
What is a mobile device's IMEI different from a phone number?,One identifies the device; the other identifies a subscriber/service number.,IMEI identifies the cellular device hardware; a phone number identifies a subscriber/service endpoint.
What is eSIM's advantage?,Think no physical SIM card is required for supported devices.,An eSIM stores cellular subscription credentials electronically and can simplify carrier/profile changes.
What is mobile device tethering over USB?,Think sharing cellular Internet through a physical cable.,USB tethering shares the phone's cellular data connection with a connected computer through USB.
What is mobile device tethering over Bluetooth?,Think lower-power short-range sharing rather than Wi-Fi hotspot.,Bluetooth tethering shares a device's Internet connection using Bluetooth networking.
What is mobile device backup to the cloud useful for?,Think replacing a lost phone without losing everything.,Cloud backups can preserve supported settings/data and simplify restoration to a replacement device.
What is a factory reset not guaranteed to do?,Don't assume a reset solves every hardware problem.,"A factory reset cannot repair physically failed hardware such as a broken display, damaged connector, or dead battery."
What is a swollen laptop battery a sign of?,Think chemical/gas buildup inside the battery pack.,A swollen lithium-ion battery indicates a potentially hazardous battery failure and should not be punctured or casually reused.
What is a printer's paper feed roller responsible for?,Think grabbing and moving paper from the tray.,Feed rollers grip and move paper into the printer's paper path.
What can worn printer rollers cause?,Think paper failing to feed correctly.,"Worn rollers can cause misfeeds, multiple-sheet feeds, and paper jams."
What is ghosting on a printer?,Think a faint duplicate image appearing on the page.,"Ghosting is a repeated/faint image often associated with imaging, drum, toner, or fuser problems depending on printer type."
What is banding in an inkjet print?,Think horizontal stripes or inconsistent ink density.,"Banding is visible horizontal or repeating variations in print density, often caused by clogged nozzles, alignment, or print-head issues."
What is print-head alignment?,Think making sure color/nozzle positions line up correctly.,Print-head alignment adjusts the position of inkjet print heads to improve image/text quality.
What is nozzle cleaning on an inkjet printer?,Think ink drying inside tiny print-head openings.,A cleaning cycle attempts to clear clogged or partially blocked ink nozzles.
What is color calibration?,Think making colors printed/displayed more accurately match expected values.,Color calibration adjusts a device so colors are represented more consistently and accurately.
What is a printer's network port configuration?,Think the communication method used by the print system to reach it.,"It specifies how print traffic reaches the printer, such as a TCP/IP port using the printer's IP address and an appropriate protocol."
What is RAW printing commonly associated with?,Think direct TCP printing to a printer's port.,RAW printing commonly uses TCP port 9100 for direct print jobs.
What is LPR/LPD?,Think an older/common network printing protocol.,Line Printer Remote/Line Printer Daemon is a network printing protocol commonly associated with TCP 515.
What is IPP?,Think modern Internet/network printing protocol.,Internet Printing Protocol is a network printing protocol commonly associated with TCP 631.
What ports should you remember for common network printing?,"Think direct printing, LPD, and IPP.",RAW/JetDirect commonly uses TCP 9100; LPD commonly uses TCP 515; IPP commonly uses TCP 631.
A network printer works through its web interface but print jobs fail. What does that tell you?,"The printer's IP stack is reachable, but the printing service path may differ.","Investigate the print protocol/port, driver, queue, spooler, and printer configuration."
What is a printer's embedded web server useful for?,Think managing a network printer through a browser.,"It can provide status, configuration, supplies information, logs, and network settings."
What is a printer's firmware?,Think software controlling the printer's internal hardware.,"Printer firmware controls device operation and may be updated to fix bugs, security issues, or compatibility problems."
What is printer calibration useful for?,Think consistent output after replacing supplies or components.,Calibration adjusts printer mechanisms/output to maintain expected print quality.
What is an output device?,Think hardware that presents information from the computer to the user.,"An output device presents processed information, such as a monitor, printer, or speakers."
What is an input device?,Think hardware that sends information into the computer.,"An input device provides data or control input, such as a keyboard, mouse, scanner, microphone, or webcam."
What is a multifunction printer?,Think one office device doing several jobs.,"A multifunction printer can commonly print, scan, copy, and sometimes fax."
What is printer sharing?,Think one printer made available to multiple computers through a network or print server.,Printer sharing allows multiple clients to use a printer through a host or print server.
What is a print spooler crash?,Think all print jobs suddenly stop while other applications may continue working.,A spooler failure can prevent Windows from processing and sending queued print jobs.
What is a common troubleshooting step for a stuck Windows print queue?,Think clearing corrupted queued jobs and restarting the service.,Stop/restart the Print Spooler and clear problematic queued jobs using appropriate administrative procedures.
What is a printer's default gateway used for?,Think the printer communicating beyond its local subnet.,The default gateway allows the printer to reach devices/services outside its local subnet.
What happens if a network printer has the wrong subnet mask?,It may incorrectly decide which destinations are local versus remote.,The printer may fail to communicate correctly with clients or services on other networks.
What happens if a network printer has the wrong gateway?,Local communication may still work while remote communication fails.,The printer may be unable to reach clients or services outside its local subnet.
What happens if a network printer has duplicate IP addressing?,Think intermittent connectivity and ARP confusion.,Clients may reach the wrong device or experience intermittent communication because multiple devices claim the same address.
What is a print server's advantage over direct-IP printing for a larger organization?,Think centralized control.,"A print server can centralize queues, drivers, permissions, deployment, and management."
What is a printer driver mismatch?,The OS and printer may disagree about capabilities or command language.,"An incompatible driver can cause failed jobs, incorrect output, missing features, or crashes."
What is a universal print driver?,Think one driver designed to support multiple compatible printer models.,A universal print driver supports a range of printers from a vendor with a common driver architecture.
What is a printer's page count useful for?,Think maintenance planning and lifecycle management.,Page count helps track usage and determine when maintenance or supply replacement may be appropriate.
What is a consumable?,Think something regularly replaced during normal printer operation.,"Consumables include items such as toner, ink, drums, fuser units, or maintenance components depending on the printer."
What is a printer's toner cartridge versus drum?,One contains imaging material; the other participates in transferring the image.,The toner cartridge supplies toner; the photoconductive drum forms/transfers the electrostatic image and may be integrated or separate depending on the printer.
What is a printer's fuser roller problem likely to affect?,Think the final bonding stage.,"It can cause smearing, poor toner adhesion, wrinkling, or other finishing defects."
What is a laser printer's transfer roller/belt responsible for?,Think moving toner from the imaging system onto the paper.,It transfers toner from the imaging surface toward the paper.
What is an inkjet printer's print head responsible for?,Think tiny ink droplets.,The print head deposits ink onto the paper through microscopic nozzles.
What is a thermal printer's direct-thermal process?,Think special heat-sensitive paper.,Direct thermal printing uses heat applied directly to chemically treated paper.
What is thermal-transfer printing?,Think a ribbon transferring material to a label.,Thermal-transfer printing uses heat to transfer ink from a ribbon onto the media.
What is a dot-matrix printer useful for?,Think multipart forms and environments where impact printing matters.,Dot-matrix printers can print through multipart forms and are useful where impact printing is required.
What is printer resolution measured in?,Think print detail.,"Printer resolution is commonly measured in DPI, or dots per inch."
What does DPI mean?,Think the number of printable dots within an inch.,Dots per inch.
What is a monitor's DPI/PPI different from printer DPI?,Think screen pixels versus printed dots.,Display pixel density is commonly described in pixels per inch; printer resolution uses dots per inch.
What is a USB device's VID/PID useful for in troubleshooting?,Think identifying the manufacturer/product combination of a USB device.,USB Vendor ID and Product ID help identify a USB device and can assist with driver/device troubleshooting.
What is Device Manager's yellow exclamation mark usually telling you?,Think Windows has a problem with that device or its driver.,It indicates a device/driver/configuration problem requiring investigation.
What is a resource conflict?,Think two hardware devices trying to use the same system resource improperly.,"A resource conflict occurs when devices contend for resources such as I/O addresses, IRQs, memory ranges, or DMA channels, depending on platform."
What is plug and play?,Think the operating system automatically detecting and configuring hardware.,Plug and Play allows supported hardware to be detected and configured with minimal manual intervention.
What is hot-swapping?,Think removing/replacing a device while the system remains powered and operating.,"Hot-swapping allows supported hardware to be replaced without shutting down the system, provided the hardware/software supports it."
What is hot-plugging?,"Similar idea, but think connecting a device while powered on.",Hot-plugging means a device can be connected while the system is operating and detected without a full shutdown.
Why isn't every USB device safe to unplug without preparation?,Some devices can have cached writes or active operations.,"Devices may be actively transferring or caching data, so proper ejection/removal can prevent data corruption."
What does safely ejecting a USB storage device do?,Think ensuring pending writes are completed before removal.,It asks the operating system to finish outstanding operations and release the device safely.
What is a file system?,Think the structure that tells the OS how files are organized on storage.,"A file system organizes, names, stores, and retrieves files and associated metadata."
What is NTFS?,Think a common Windows file system.,"NTFS is a Windows file system supporting features such as permissions, journaling, and large volumes/files."
What is FAT32?,"Think an older, broadly compatible filesystem often used on removable media.",FAT32 is a widely compatible filesystem but has limitations such as a maximum individual file size of about 4 GiB minus 1 byte.
What is exFAT?,Think removable storage needing broad compatibility and large file support.,exFAT is designed for flash/removable storage and supports larger files/volumes than FAT32 while maintaining broad compatibility.
What is ext4?,Think a common Linux filesystem.,ext4 is a widely used Linux filesystem.
What is file fragmentation?,Think pieces of a file being stored in different physical locations.,"Fragmentation occurs when file data is stored in non-contiguous locations, which can affect performance on some storage technologies."
Why is traditional defragmentation generally more relevant to HDDs than SSDs?,Think mechanical head movement versus flash memory.,HDDs can benefit from reducing seek-related fragmentation; SSDs have no mechanical seek and excessive rewriting can add unnecessary wear.
What is TRIM for SSDs?,Think telling an SSD which blocks are no longer needed.,TRIM allows the operating system to inform an SSD about blocks that are no longer in use so the drive can manage them efficiently.
What is wear leveling?,Think spreading writes across flash cells.,Wear leveling distributes writes across flash memory to extend the drive's usable lifespan.
What is overprovisioning on an SSD?,Think reserving flash capacity for internal management.,Overprovisioning reserves some NAND capacity for functions such as garbage collection and wear leveling.
What is a firmware-level storage controller problem?,Think the drive may be physically connected but not behaving correctly at a lower level.,"Controller or firmware faults can cause drive detection, performance, or data-access problems."
What is a partition?,Think dividing a physical disk into logical regions.,A partition is a defined section of a storage device that can contain a filesystem or other data structure.
What is GPT?,Think modern partitioning scheme supporting large disks and many partitions.,GUID Partition Table is a modern partitioning scheme commonly used with UEFI systems.
What is MBR?,Think older partitioning/boot scheme.,Master Boot Record is an older partitioning scheme with limitations compared with GPT.
What is Secure Boot's relationship to UEFI?,Think firmware security feature.,Secure Boot is a UEFI feature that verifies trusted boot components before executing them.
What is bootloader?,Think software that starts the operating system.,A bootloader loads or starts the operating system kernel and related startup components.
What is kernel panic?,Think Linux/Unix equivalent of a severe operating-system failure.,A kernel panic occurs when the kernel encounters an unrecoverable condition.
What is swap in Linux?,Think disk space used as an extension/backup for memory management.,"Swap is storage space used by the OS when managing memory, including moving less-active pages out of RAM."
Why is excessive swap usage a performance concern?,Storage is generally much slower than RAM.,Heavy swapping can cause significant performance degradation.
What does kill do in Linux?,"Despite its name, it sends a signal to a process.","kill sends a signal to a process, which can request termination or perform other actions depending on the signal."
What does kill -9 do?,Think the forceful signal used when a process won't terminate normally.,SIGKILL forcibly terminates a process and cannot be caught or ignored by the target process.
What does man do in Linux?,Think built-in documentation.,man displays manual pages for commands and system interfaces.
What does which do in Linux?,Think finding the executable that would be run for a command.,which locates an executable in the user's PATH in systems where the command is available.
What does history do in many Linux shells?,Think remembering commands you've previously entered.,history displays previously executed shell commands.
What does clear do in a Linux terminal?,Think cleaning up the visible terminal screen.,clear clears the terminal display.
What does echo do?,Think printing text or variable values.,echo writes text or expanded values to standard output.
What does > do in a shell?,Think redirecting output into a file.,"> redirects standard output to a file, normally replacing its previous contents."
What does >> do in a shell?,"Similar to >, but think adding rather than replacing.",>> appends standard output to a file.
What does | do in a shell?,Think connecting the output of one command to another command's input.,The pipe operator sends one command's standard output to another command's standard input.
What does grep combined with a pipe let you do?,Think filtering the output of another command.,It allows you to search/filter command output for lines matching a pattern.
What is a shell?,Think the command interpreter between you and the operating system.,A shell interprets commands and provides an interface for interacting with the operating system.
What is Bash?,Think a very common Linux/Unix shell.,Bash is a widely used command-line shell.
What is the PATH environment variable?,Think how the shell finds executable commands.,PATH contains directories the shell searches for executable commands.
What is an environment variable?,Think configuration information available to processes.,An environment variable is a named value used by the operating system/shell/programs to store configuration or runtime information.
What is sudo versus su?,"Both relate to privilege, but they are used differently.","sudo runs commands with elevated privileges according to policy; su switches to another user account, often root."
What is a package manager?,"Think installing, updating, and removing software from repositories.",A package manager manages software packages and their dependencies.
What is apt used for?,Think Debian/Ubuntu-family Linux package management.,apt is a package-management command-line interface commonly used on Debian-based distributions.
What is dnf used for?,Think Fedora/RHEL-family modern package management.,dnf is a package manager commonly used by Fedora and related distributions.
What is yum?,Think older/common package-management command in Red Hat-family systems.,yum is a package-management tool used in Red Hat-family Linux systems; many modern systems use dnf underneath.
What is SSH key authentication?,Think replacing or supplementing passwords with cryptographic keys.,SSH key authentication uses a public/private key pair to authenticate an SSH client.
What is a public key versus private key?,One can be shared; the other must remain secret.,The public key can be distributed; the private key must be protected and kept secret.
What is a certificate authority?,Think an organization trusted to issue digital certificates.,A Certificate Authority issues and signs certificates that clients can validate against trusted CA certificates.
What is a self-signed certificate?,Think a certificate signed by the same entity it identifies.,A self-signed certificate is signed by its own key rather than a trusted external CA.
What is an expired certificate?,Think a certificate whose validity period has ended.,An expired certificate is no longer valid according to its specified validity period.
What is a hostname mismatch in TLS?,Think the name in the certificate doesn't match the server name requested.,A hostname mismatch occurs when the requested hostname is not covered by the certificate's valid names.
What is a man-in-the-middle attack conceptually?,Think an attacker secretly positioning themselves between two communicating parties.,A man-in-the-middle attack intercepts and potentially alters communications between parties.
How does TLS help against man-in-the-middle attacks?,Think encryption plus authentication of the server.,TLS helps by encrypting traffic and using certificates to authenticate the server when certificate validation succeeds.
What is a vulnerability?,Think a weakness that could potentially be exploited.,"A vulnerability is a weakness in hardware, software, configuration, or process that can create security risk."
What is a patch?,Think a software update that fixes something.,"A patch is an update intended to fix bugs, vulnerabilities, or other issues."
Why should technicians keep operating systems and drivers updated?,Updates can address both reliability and security problems.,"Updates can fix vulnerabilities, bugs, compatibility issues, and performance problems."
Why should you test updates before deploying them broadly in business environments?,A patch can introduce incompatibilities.,"Testing reduces the risk that an update will disrupt applications, hardware, or workflows."
What is a rollback?,Think undoing a problematic change.,"Rollback returns a system, configuration, driver, or update to a previous working state."
What is a restore point?,Think a checkpoint for certain Windows system changes.,A restore point captures selected system configuration information so Windows can roll back certain changes.
What is a recovery environment?,Think a minimal operating environment used to repair a broken OS.,"A recovery environment provides tools for repairing, restoring, resetting, or troubleshooting the operating system."
What is bootrec commonly associated with?,Think Windows boot-repair troubleshooting.,bootrec is a Windows recovery command used for certain boot configuration and bootloader repair tasks.
What is the Windows Event Viewer useful for?,Think logs rather than guessing from symptoms.,"Event Viewer displays Windows event logs that can provide information about application, system, security, and hardware-related events."
What is Event Viewer especially useful for after an unexpected reboot?,Think finding recorded evidence of what happened around the failure.,"Check System and relevant logs for errors, warnings, power events, drivers, and other clues."
What is Reliability Monitor useful for?,Think a timeline of Windows crashes and reliability problems.,Reliability Monitor presents a chronological view of application/system failures and related events.
What is Task Manager useful for?,"Think CPU, memory, disk, network, processes, and startup activity.",Task Manager provides real-time resource and process information and allows certain process/startup/service management tasks.
What does high CPU usage tell you?,"It tells you a resource is busy, not automatically why.","Identify the process consuming CPU and investigate whether the workload is legitimate, stuck, malicious, or caused by another issue."
What does high memory usage tell you?,"Think RAM pressure, but don't automatically blame a memory module.","Investigate which processes consume RAM, available memory, paging/swap, leaks, and whether the workload exceeds installed capacity."
What does high disk active time tell you?,"The storage subsystem is busy, but the cause could be reads, writes, latency, or a process generating I/O.","Identify processes generating disk I/O and check drive health, capacity, performance, and background tasks."
